선박명,IMO,제재프로그램,선종,선적국,총톤수
LONG XING 636,8648157,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7606,9891610,GLOMAG,Fishing Vessel,China,
LONG XING 637,8648169,GLOMAG,Fishing Vessel,China,
LONG XING 638,8648171,GLOMAG,Fishing Vessel,China,
LONG XING 801,8529442,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8679,9892365,GLOMAG,Fishing Vessel,China,
LONG XING 802,8529428,GLOMAG,Fishing Vessel,China,
TIAN XIANG 7,8407802,GLOMAG,Fishing Vessel,China,
TIAN XIANG 8,8430562,GLOMAG,Fishing Vessel,China,
TIAN XIANG 16,8947553,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8680,9892377,GLOMAG,Fishing Vessel,China,
TIAN XIANG 18,8603690,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8681,9893137,GLOMAG,Fishing Vessel,China,
TIAN YU 7,8651283,GLOMAG,Fishing Vessel,China,
TIAN YU 8,8651295,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8682,9893149,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8683,,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8686,9894399,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8684,9894492,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8685,9894507,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8687,9894519,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7611,9896294,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7612,9896309,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7613,9896323,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7614,9896335,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7615,9896347,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7616,9896361,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7617,9896373,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7618,9896397,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7630,9914785,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7629,9914761,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7619,9896402,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7628,9914759,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8688,9899052,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7627,9914747,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8689,9899064,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7626,9914735,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8690,9899076,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7625,9914723,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7624,9914606,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8691,9899088,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7622,9914591,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7621,9914589,GLOMAG,Fishing Vessel,China,
FU YUAN YU 7620,9914577,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8692,9899105,GLOMAG,Fishing Vessel,China,
FU YUAN YU 8693,9899117,GLOMAG,Fishing Vessel,China,
FU YUAN YU YUN 992,9910909,GLOMAG,Fish Carrier,China,
LAMANTIN,9396854,RUSSIA-EO14024] [PEESA-EO14039,Offshore Support Vessel,Russia,
BALTIC LEADER,9220639,RUSSIA-EO14024,Roll-on Roll-off,Russia,8831
PEGAS,9256860,RUSSIA-EO14024,Crude Oil Tanker,Russia,61991
LIGHT MOON,9109550,SDGT,Bulk Carrier,St. Kitts and Nevis,
DILBAR,9661792,RUSSIA-EO14024,Yacht,Cayman Islands,15917
TANGO,1010703,RUSSIA-EO14024,Yacht,Cook Islands,2083
LENA,9594339,RUSSIA-EO14024,Yacht,British Virgin Islands,
CLIPPER,9102198,SDGT,LPG Tanker,Guyana,
SEA RHAPSODY,1010648,UKRAINE-EO13661,Yacht,Marshall Islands,1503
LADY LEILA,9683740,RUSSIA-EO14024,Products Tanker,Russia,5075
LADY RANIA,9784893,RUSSIA-EO14024,Chemical/Oil Tanker,Russia,5077
LADY SEVDA,9683738,RUSSIA-EO14024,Products Tanker,Russia,5075
SV KONSTANTIN,9203710,RUSSIA-EO14024,General Cargo,Russia,4860
SPARTA II,9160994,RUSSIA-EO14024,Roll-on Roll-off,Russia,7260
AMBAL,8807416,RUSSIA-EO14024,Roll-on Roll-off,Russia,20729
MARIA E,9617923,RUSSIA-EO14024,Roll-on Roll-off,Togo,3069
PIZHMA,8814354,RUSSIA-EO14024,General Cargo,Russia,3466
SPARTA,9268710,RUSSIA-EO14024,Roll-on Roll-off,Russia,8831
SPARTA III,9538892,RUSSIA-EO14024,General Cargo,Russia,12679
SPARTA IV,9743033,RUSSIA-EO14024,General Cargo,Russia,7522
BELOMORSKIY,8305781,RUSSIA-EO14024,Dredger,Russia,2628
CHIZHOVKA,8730455,RUSSIA-EO14024,Hopper Barge,Russia,745
DVINSKIY ZALIV,8922486,RUSSIA-EO14024,Dredger,Russia,2081
INZHENER TRUBIN,8502080,RUSSIA-EO14024,General Cargo,Russia,6418
INZHENER VESHNYAKOV,8502107,RUSSIA-EO14024,General Cargo,Russia,6418
IOHANN MAHMASTAL,8603406,RUSSIA-EO14024,General Cargo,Russia,6395
KAPITAN KOKOVIN,9279422,RUSSIA-EO14024,General Cargo,Russia,2474
KAPITAN RYNTSYN,8618073,RUSSIA-EO14024,General Cargo,Russia,2601
KAPITAN SAKHAROV,9279434,RUSSIA-EO14024,General Cargo,Russia,2474
KHOLMOGORY,9109081,RUSSIA-EO14024,General Cargo,Russia,2986
LAPOMINKA,8928143,RUSSIA-EO14024,Hopper Barge,Russia,643
MEKHANIK BRILIN,8904408,RUSSIA-EO14024,General Cargo,Russia,2489
MEKHANIK KOTTSOV,8904410,RUSSIA-EO14024,General Cargo,Russia,2489
MEKHANIK KRASKOVSKIY,8904458,RUSSIA-EO14024,General Cargo,Russia,2489
MEKHANIK MAKARIN,8904379,RUSSIA-EO14024,General Cargo,Russia,3178
MEKHANIK PUSTOSHNYY,8904422,RUSSIA-EO14024,General Cargo,Russia,2489
MEKHANIK PYATLIN,8904434,RUSSIA-EO14024,General Cargo,Russia,2489
MEKHANIK YARTSEV,8904367,RUSSIA-EO14024,General Cargo,Russia,2489
MIKHAIL LOMONOSOV,9216482,RUSSIA-EO14024,General Cargo,Russia,2990
S. KUZNETSOV,9210359,RUSSIA-EO14024,General Cargo,Russia,6204
SIYANIE SEVERA,9250385,RUSSIA-EO14024,General Cargo,Russia,6577
SMP ARKHANGELSK,9240550,RUSSIA-EO14024,General Cargo,Russia,7752
SMP NOVODVINSK,9398046,RUSSIA-EO14024,General Cargo,Russia,4106
SMP SEVERODVINSK,9376440,RUSSIA-EO14024,General Cargo,Russia,4106
ADLER,9179854,RUSSIA-EO14024,Roll-on Roll-off,Russia,8811
TERIBERKA,8931748,RUSSIA-EO14024,Hopper Barge,Russia,643
ANGARA,9179842,RUSSIA-EO14024,Roll-on Roll-off,Russia,8811
ASCALON,9198226,RUSSIA-EO14024,Roll-on Roll-off,Russia,8821
POLAR ROCK,9116632,RUSSIA-EO14024,Crude Oil Tanker,Russia,56924
ENISEY,9079169,RUSSIA-EO14024,Bulk Carrier,Russia,27078
NP DIKSON,9255270,RUSSIA-EO14024,Chemical/Oil Tanker,Russia,15980
ANASTASIIA,9349291,RUSSIA-EO14024,General Cargo,Russia,9611
ASKAR-SARYDZHA,9082142,RUSSIA-EO14024,General Cargo,Russia,4991
SAPFIR,8700010,RUSSIA-EO14024,General Cargo,Russia,1853
GASRET ALIEV,9083330,RUSSIA-EO14024,General Cargo,Russia,4991
NP DUDINKA,9183831,RUSSIA-EO14024,Chemical/Oil Tanker,Russia,14400
RZK CONSTANTA,8711289,RUSSIA-EO14024,General Cargo,Russia,7095
SEVERNIY PROECT,9202053,RUSSIA-EO14024,General Cargo,Russia,13066
TRITON,7236141,RUSSIA-EO14024,Tug,Russia,161
GENRIKH GASANOV,9083196,RUSSIA-EO14024,General Cargo,Russia,4991
VIKTOR ZABELIN,9210256,RUSSIA-EO14024,General Cargo,Russia,6204
SIBERIA,9239458,RUSSIA-EO14024,Bulk Carrier,Russia,17665
TAIBOLA,9086253,RUSSIA-EO14024,General Cargo,Russia,8448
KOMPOZITOR GASANOV,8606628,RUSSIA-EO14024,Roll-on Roll-off,Russia,6894
TAIMYR,8821797,RUSSIA-EO14024,General Cargo,Russia,7949
TAMBEY,9014872,RUSSIA-EO14024,General Cargo,Russia,7949
LADY D,9349289,RUSSIA-EO14024,General Cargo,Russia,9611
TERSKIY BEREG,9081368,RUSSIA-EO14024,General Cargo,Russia,8448
TIKSY,8821802,RUSSIA-EO14024,General Cargo,Russia,7949
LADY MARIIA,9220641,RUSSIA-EO14024,Roll-on Roll-off,Russia,8831
TURUKHAN,9081332,RUSSIA-EO14024,General Cargo,Russia,8448
LADY R,9161003,RUSSIA-EO14024,Roll-on Roll-off,Russia,7260
MAIA-1,9358010,RUSSIA-EO14024,General Cargo,Russia,9611
OLGA,8700046,RUSSIA-EO14024,General Cargo,Russia,1853
UTRENNIY,9347059,RUSSIA-EO14024,General Cargo,Russia,12936
SABETTA,9347061,RUSSIA-EO14024,General Cargo,Russia,12936
PORT OLYA-1,9481922,RUSSIA-EO14024,General Cargo,Russia,4878
PORT OLYA-2,9481881,RUSSIA-EO14024,General Cargo,Russia,4878
RASUL GAMZATOV,8861058,RUSSIA-EO14024,General Cargo,Russia,4991
SONA,8700060,RUSSIA-EO14024,General Cargo,Russia,1853
VALENTIN EMIROV,8866591,RUSSIA-EO14024,General Cargo,Russia,4110
TERIBERKA,9081291,RUSSIA-EO14024,General Cargo,Russia,8448
GRACEFUL,1011551,RUSSIA-EO14024,Yacht,Russia,2685
OLYMPIA,1006960,RUSSIA-EO14024,Yacht,Cayman Islands,776
MADAME GU,1011331,UKRAINE-EO13661] [RUSSIA-EO14024,Yacht,Cayman Islands,2991
SHELLEST,,RUSSIA-EO14024,Yacht,Russia,
NEGA,,RUSSIA-EO14024,Yacht,Russia,
SUMMER 5,9204805,IRAN-EO13846,Chemical/Oil Tanker,Panama,
BS BRAVO,9294795,IRAN-EO13846,Chemical/Oil Tanker,Gabon,
NIRVANA,1011202,RUSSIA-EO14024,Yacht,Cayman Islands,
GLORY HARVEST,9143506,IRAN-EO13846,LPG Tanker,Panama,
AKOYA GAS,9142150,IRAN-EO13846,Chemical/Oil Tanker,Tanzania,
B LUMINOSA,9256016,SDGT,Oil Products Tanker,Djibouti,
ZEPHYR I,9255880,SDGT,Crude Oil Tanker,Panama,
BOCEANICA,9267132,SDGT,Oil Products Tanker,Djibouti,
RAIN DROP,9233208,SDGT,Crude Oil Tanker,Cook Islands,
ADISA,9304667,SDGT,Oil Products Tanker,Panama,
SAINT LIGHT,9194127,SDGT,Oil Products Tanker,Guyana,
ANATTA,1011159,RUSSIA-EO14024,Yacht,Cayman Islands,
IRIS MAKRAN,9486910,IRAN,Naval Auxiliary Vessel,Iran,
IRIS DENA,4743313,IRAN,Frigate,Iran,
DOLPHIN,9052331,IRAN-EO13846,LPG Tanker,Sao Tome and Principe,
LAUREN,9249685,IRAN-EO13846,LPG Tanker,Tuvalu,
GOLDEN BRIDGE,9218301,IRAN-EO13846,Bulk Carrier,Panama,
GOLDEN PHOENIX,9224790,IRAN-EO13846,Bulk Carrier,Panama,
JAMAICA,9230098,IRAN-EO13846,Crude Oil Tanker,Vietnam,
GOLDEN LIGHT 09,9445057,IRAN-EO13846,Bulk Carrier,Vietnam,
GAS CATHAR,9250505,IRAN-EO13846,LPG Tanker,Panama,
YONG XIANG 29,8744107,IRAN-EO13846,Chemical/Products Tanker,China,
FOREVER RICH,9203928,IRAN-EO13846,Chemical/Products Tanker,Hong Kong,
YONG XIN,9203930,IRAN-EO13846,Chemical/Products Tanker,Hong Kong,
LIANG SHENG,9526693,IRAN-EO13846,Chemical/Products Tanker,Hong Kong,
FULL STAR,9773301,IRAN-EO13846,Chemical/Products Tanker,Hong Kong,
AMIAS,9342786,IRAN-EO13846,Chemical/Products Tanker,Vietnam,
POLA HARITA,9888792,RUSSIA-EO14024,General Cargo,,
POLA DUDINKA,9190107,RUSSIA-EO14024,General Cargo,,
POLA SEVASTIANA,9691785,RUSSIA-EO14024,General Cargo,,
POLA MAKARIA,9849423,RUSSIA-EO14024,General Cargo,,
POLA FILOFEIA,9849435,RUSSIA-EO14024,General Cargo,,
POLA SOFIA,9849459,RUSSIA-EO14024,General Cargo,,
POLA FEODOSIA,9849461,RUSSIA-EO14024,General Cargo,,
POLA FIVA,9849473,RUSSIA-EO14024,General Cargo,,
POLA ANATOLIA,9851103,RUSSIA-EO14024,General Cargo,,
POLA ANFISA,9851115,RUSSIA-EO14024,General Cargo,,
POLA GALI,9851127,RUSSIA-EO14024,General Cargo,,
POLA MIROPIA,9903877,RUSSIA-EO14024,General Cargo,,
ASTROL-1,9906544,RUSSIA-EO14024,General Cargo,,
POLA PELAGIA,9888807,RUSSIA-EO14024,General Cargo,,
ALEKSANDR SOKOLOV,9889198,RUSSIA-EO14024,General Cargo,,
POLA ANASTASIA,9897690,RUSSIA-EO14024,General Cargo,,
POLA MARIA,9897705,RUSSIA-EO14024,General Cargo,,
POLA YAROSLAVA,9903827,RUSSIA-EO14024,General Cargo,,
POLA VARVARA,9903839,RUSSIA-EO14024,General Cargo,,
POLA AGATA,9903841,RUSSIA-EO14024,General Cargo,,
POLA ALEXIA,9903853,RUSSIA-EO14024,General Cargo,,
POLA MARINA,9903865,RUSSIA-EO14024,General Cargo,,
BALTIYSK,8318130,RUSSIA-EO14024,Roll-on Roll-off,Russia,
AVRORA ALTAIR,9300348,RUSSIA-EO14024,Oil Products Tanker,Russia,
AVRORA REGUL,9300350,RUSSIA-EO14024,Oil Products Tanker,Russia,
AVRORA SIRIUS,9313589,RUSSIA-EO14024,Oil Products Tanker,Russia,
NAVIS 6,9868807,RUSSIA-EO14024,General Cargo,Russia,
PETROTRANS 5902,9900514,RUSSIA-EO14024,General Cargo,Russia,
VLADIMIR LATYSHEV,9921996,RUSSIA-EO14024,General Cargo,Russia,
VICTOR ANDRYUKHIN,9922110,RUSSIA-EO14024,General Cargo,Russia,
LEONID PESTRIKOV,9922122,RUSSIA-EO14024,General Cargo,Russia,
NIKOLAI LEONOV,9922134,RUSSIA-EO14024,General Cargo,Russia,
ALPHA HELIOS,9924340,RUSSIA-EO14024,General Cargo,Russia,
ALPHA HERMES,9924352,RUSSIA-EO14024,General Cargo,Russia,
ALEXANDR DEEV,9940186,RUSSIA-EO14024,Passenger,Russia,
NIKOLAY ANISHCHENKOV,9942392,RUSSIA-EO14024,General Cargo,Russia,
ALARA,9741724,RUSSIA-EO14024,Bulk Carrier,Turkey,
IPSALA,9759666,RUSSIA-EO14024,Bulk Carrier,Turkey,
ULA,9780940,RUSSIA-EO14024,Bulk Carrier,Turkey,
IVAN KIREEV,7423275,RUSSIA-EO14024,Research Vessel,Russia,
ALEKSEY MARYSHEV,8909329,RUSSIA-EO14024,Research Vessel,Russia,
GRIGORIY MIKHEYEV,8909331,RUSSIA-EO14024,Passenger,Russia,
YURI BABAEV,9912696,RUSSIA-EO14024,Research Vessel,Russia,
PAWELL,8315499,RUSSIA-EO14024,General Cargo,Syria,
SASCO ALDAN,9358034,RUSSIA-EO14024,General Cargo,Russia,
SASCO AVACHA,9246140,RUSSIA-EO14024,Container Ship,Russia,
SASCO ANGARA,9242986,RUSSIA-EO14024,Container Ship,Russia,
SASCO ANIVA,9255402,RUSSIA-EO14024,Container Ship,Russia,
PATRIA,9159921,RUSSIA-EO14024,Roll-on Roll-off,Russia,
ZEYA,9118355,RUSSIA-EO14024,Container Ship,Russia,
KUNASHIR,9142588,RUSSIA-EO14024,General Cargo,Russia,
PARAMUSHIR,9190286,RUSSIA-EO14024,General Cargo,Russia,
SELENGA,8714657,RUSSIA-EO14024,General Cargo,Russia,
SHANTAR,9190274,RUSSIA-EO14024,General Cargo,Russia,
SIMUSHIR,9179385,RUSSIA-EO14024,General Cargo,Russia,
SAKHALIN 8,8330516,RUSSIA-EO14024,Passenger,Russia,
SAKHALIN 9,8728543,RUSSIA-EO14024,Passenger,Russia,
SAKHALIN 10,8857667,RUSSIA-EO14024,Passenger,Russia,
KORYAK FSU,9915105,RUSSIA-EO14024,Floating Storage Tanker,Panama,
SAAM FSU,9915090,RUSSIA-EO14024,Floating Storage Tanker,Panama,
KAZAN,9258002,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
SCF PRIMORYE,9421960,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
LIGOVSKY PROSPECT,9256066,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
NS CENTURY,9306782,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
NS CHAMPION,9299719,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
VIKTOR BAKAEV,9610810,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
HS ATLANTICA,9322839,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
CAPTAIN YAKUBOVICH,8318740,RUSSIA-EO14024,General Cargo,Russia,
MARIA,8517839,RUSSIA-EO14024,General Cargo,Russia,
ARKADIY CHERNYSHEV,8714695,RUSSIA-EO14024,General Cargo,Russia,
ANATOLY KOLODKIN,9610808,RUSSIA-EO14024,Crude Oil Tanker,Panama,
NS ANTARCTIC,9413559,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS LION,9339313,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
GEORGY MASLOV,9610793,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS CONSUL,9341093,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS BURGAS,9411020,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS CAPTAIN,9341067,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS COLUMBUS,9312884,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
SAKHALIN ISLAND,9249128,RUSSIA-EO14024,Crude Oil Tanker,Panama,
NEVSKIY PROSPECT,9256054,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
LITEYNY PROSPECT,9256078,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
KRYMSK,9270529,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
SANAR 15,9777670,RUSSIA-EO14024,Oil Products Tanker,Russia,
NS CREATION,9312896,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NS BRAVO,9412359,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
MEHLE,9191711,SDGT,Crude Oil Tanker,Panama,
SINCERE 02,9226011,SDGT,Oil Products Tanker,Kiribati,
ARISTO,9327413,RUSSIA-EO14024,Chemical/Products Tanker,Liberia,
HAI II,9259599,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
HS ARGE,9299745,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
HS BURAQ,9381732,RUSSIA-EO14024,Products Tanker,Liberia,
HS ESBERG,9410894,RUSSIA-EO14024,Products Tanker,Liberia,
HS EVERETT,9410870,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
HS GLORY,9249087,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
HS STAR,9274446,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
LA PRIDE,9274616,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
MONA,9314818,RUSSIA-EO14024,Chemical/Oil Tanker,Liberia,
NELLIS,9322267,RUSSIA-EO14024,Chemical/Oil Tanker,Liberia,
OSPEROUS,9412995,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
PERIA,9322827,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
SARA II,9301615,RUSSIA-EO14024,Chemical/Oil Tanker,Liberia,
SENSUS,9296585,RUSSIA-EO14024,Products Tanker,Liberia,
UZE,9323338,RUSSIA-EO14024,Chemical/Oil Tanker,Liberia,
HS LEGEND,9381744,RUSSIA-EO14024,Crude Oil Tanker,Liberia,
BENDIGO,9289491,IRAN-EO13846,Crude Oil Tanker,Barbados,
PARINE,9257503,IRAN-EO13846,Crude Oil Tanker,Barbados,
ROAD,9229362,IRAN-EO13846,Crude Oil Tanker,Barbados,
BERENICE PRIDE,9216559,IRAN-EO13846,Oil Products Tanker,Panama,
HARMONY,8400945,IRAN-EO13846,Tug,Comoros,
EURO VIKING,9309239,IRAN-EO13846,Chemical/Oil Tanker,St. Kitts and Nevis,
EURO FORTUNE,9281554,IRAN-EO13846,Chemical/Oil Tanker,St. Kitts and Nevis,
ARABIAN ENERGY,9417490,IRAN-EO13846,Chemical/Products Tanker,Panama,
ASTRA,9162928,IRAN-EO13846,Chemical/Products Tanker,Gabon,
BALTIC HORIZON,9263382,IRAN-EO13846,Chemical/Products Tanker,Panama,
NILE,9411288,IRAN-EO13846,Chemical/Products Tanker,Cook Islands,
YAMUNA,9572111,IRAN-EO13846,Oil Products Tanker,Cook Islands,
NS LEADER,9339301,RUSSIA-EO14024,Crude Oil Tanker,Gabon,
OLYMPICS,9212759,SDGT,Crude Oil Tanker,Guyana,
YORGOS,9150365,SDGT,Crude Oil Tanker,Sint Maarten,
ALIREZA 1,6703769,RUSSIA-EO14024,General Cargo,Russia,1972
BALTIYSKIY-111,7612448,RUSSIA-EO14024,General Cargo,Russia,1926
SKIF-V,8858087,RUSSIA-EO14024,General Cargo,Russia,2463
AKADEMIK ALEKSANDR KARPINSKIY,8227238,RUSSIA-EO14024,Research Vessel,Russia,
PROFESSOR LOGACHEV,8834691,RUSSIA-EO14024,Research Vessel,Russia,
AKADEMIK PRIMAKOV,9187514,RUSSIA-EO14024,Research Vessel,Russia,
AKADEMIK LAZEREV,8408985,RUSSIA-EO14024,Research Vessel,Russia,
AKADEMIK NEMCHINOV,8409032,RUSSIA-EO14024,Research Vessel,Russia,
PROFESSOR RYABINKIN,8504923,RUSSIA-EO14024,Research Vessel,Russia,
BAVENIT,8406573,RUSSIA-EO14024,Drilling Ship,Russia,
GELENDZHIK,8826230,RUSSIA-EO14024,Research Vessel,Russia,
YUZHMORGEOLOGIYA,8724482,RUSSIA-EO14024,Research Vessel,Russia,
KOHANA,9254082,SDGT,Crude Oil Tanker,Panama,
RENEEZ,9232450,SDGT,Crude Oil Tanker,Palau,
MOONBAY,9230907,SDGT,Crude Oil Tanker,Guyana,
DAWN II,9185530,SDGT,Crude Oil Tanker,Panama,
HECATE,9233753,SDGT,Crude Oil Tanker,Comoros,
SIRI,9281683,SDGT,Crude Oil Tanker,Comoros,
BOREAS,9248497,SDGT,Crude Oil Tanker,Comoros,
CAPE GAS,9002491,SDGT,LPG Tanker,Comoros,
CALYPSO GAS,9131101,SDGT,LPG Tanker,Antigua and Barbuda,
MERAKI,9194139,SDGT,Crude Oil Tanker,Antigua and Barbuda,
ELSA,9256468,SDGT,Crude Oil Tanker,Belize,
DEMETER,9258674,SDGT,Oil Products Tanker,Panama,
HEBE,9259185,SDGT,Crude Oil Tanker,Comoros,
BAXTER,9282522,SDGT,Oil Products Tanker,Belize,
GLAUCUS,9337389,SDGT,Crude Oil Tanker,Comoros,
OUREA,9350422,SDGT,LPG Tanker,Cook Islands,
OCEANUS GAS,9397080,SDGT,LPG Tanker,Comoros,
LA PEARL,9174660,SDGT,Crude Oil Tanker,Tanzania,
CHEM,9240914,SDGT,Chemical/Products Tanker,Cook Islands,
DANCY DYNAMIC,9158161,SDGT,Oil Products Tanker,Palau,
K M A,9234616,SDGT,Chemical/Products Tanker,Cook Islands,
CONRAD,9546722,SDGT,Oil Products Tanker,Cook Islands,
AUDAX,9763837,RUSSIA-EO14024,Heavy Lift Vessel,Singapore,
PUGNAX,9763849,RUSSIA-EO14024,Heavy Lift Vessel,Singapore,
ARCTICA 1,9228980,RUSSIA-EO14024,General Cargo,Russia,
MYS ZHELANIYA,9366110,RUSSIA-EO14024,General Cargo,Russia,
VASILY LANOVOY,9621601,RUSSIA-EO14024,Chemical/Products Tanker,Russia,
HUNTER STAR,9830769,RUSSIA-EO14024,Heavy Lift Vessel,Panama,
NAN FENG ZHI XING,9934498,RUSSIA-EO14024,Heavy Lift Vessel,Panama,
ARCTICA 2,9243801,RUSSIA-EO14024,General Cargo,Russia,
BERING,9267297,RUSSIA-EO14024,General Cargo,Russia,
MYS FLORA,9433286,RUSSIA-EO14024,Bulk Carrier,Russia,
MYS DEZHNEVA,9368340,RUSSIA-EO14024,General Cargo,Russia,
BARENTS,9278600,RUSSIA-EO14024,General Cargo,Russia,
ANDREY OSIPOV,8711306,RUSSIA-EO14024,General Cargo,Russia,
MIKHAIL BRITNEV,9081370,RUSSIA-EO14024,General Cargo,Russia,
MYS SHMIDTA,9243825,RUSSIA-EO14024,General Cargo,Russia,
MANGAZEYA,7741108,RUSSIA-EO14024,Fish Carrier,Russia,
JANET,9220952,SDGT,Crude Oil Tanker,Panama,
BELLA 1,9230880,SDGT,Crude Oil Tanker,Panama,
SERGEI WITTE,9904687,RUSSIA-EO14024,LNG Carrier,Russia,
ALEXEY KOSYGIN,9904546,RUSSIA-EO14024,LNG Carrier,Russia,
PYOTR STOLYPIN,9904675,RUSSIA-EO14024,LNG Carrier,Russia,
ZVEZDA 044,9904699,RUSSIA-EO14024,LNG Carrier,Russia,
ZVEZDA 047,9918781,RUSSIA-EO14024,LNG Carrier,Russia,
ZVEZDA 046,9918779,RUSSIA-EO14024,LNG Carrier,Russia,
ZVEZDA 045,9904704,RUSSIA-EO14024,LNG Carrier,Russia,
WANJI,9215103,SDGT,Chemical/Products Tanker,Panama,
OCEANIC II,9275995,SDGT,Products Tanker,Hong Kong,
TIREX,9203772,SDGT,Crude Oil Tanker,Panama,
MIROVA DYNAMIC,9237618,SDGT,Crude Oil Tanker,Unknown,
KASPER,9293143,SDGT,Crude Oil Tanker,Panama,
RAHA GAS,8818219,SDGT,LPG Tanker,Palau,
DIVINE POWER,9171357,SDGT,Chemical/Products Tanker,Palau,
LPG OM,9160475,SDGT,LPG Tanker,Palau,
TINOS I,9969821,IRAN-EO13902,LPG Tanker,Panama,
NORTH SKY,9953523,RUSSIA-EO14024,LNG Carrier,Panama,
NORTH AIR,9953509,RUSSIA-EO14024,LNG Carrier,Panama,
NORTH MOUNTAIN,9953511,RUSSIA-EO14024,LNG Carrier,Panama,
NORTH WAY,9953535,RUSSIA-EO14024,LNG Carrier,Panama,
FENGSHUN,9007386,SDGT,LPG Tanker,Eswatini,
VICTORIA,9113379,SDGT,LPG Tanker,Sao Tome and Principe,
LADY LIBERTY,9005065,SDGT,LPG Tanker,Sao Tome and Principe,
PARVATI,8519966,SDGT,LPG Tanker,Panama,
ALPHA GAS,8817693,SDGT,,Tanzania,
PIONEER,9256602,RUSSIA-EO14024,LNG Carrier,Republic of Palau,
MARINA,9005493,SDGT,,Tanzania,
ASYA ENERGY,9216298,RUSSIA-EO14024,LNG Carrier,Republic of Palau,
EVEREST ENERGY,9243148,RUSSIA-EO14024,LNG Carrier,Republic of Palau,
BORIS KUSTODIEV,9103817,RUSSIA-EO14024,General Cargo,Russia,
PORT OLYA-4,9481934,RUSSIA-EO14024,General Cargo,Russia,
PORT OLYA-3,9481910,RUSSIA-EO14024,General Cargo,Russia,
KOMPOZITOR RAKHMANINOV,8606616,RUSSIA-EO14024,Roll-on Roll-off,Russia,
VAFA,8422670,RUSSIA-EO14024,General Cargo,Russia,1575
VAFA-1,8422682,RUSSIA-EO14024,General Cargo,Russia,1570
OMSKIY-103,8889385,RUSSIA-EO14024,General Cargo,Russia,2458
OMSKIY-119,8926913,RUSSIA-EO14024,General Cargo,Russia,2463
ZAKAMSK,8951413,RUSSIA-EO14024,General Cargo,Russia,2406
